7: Ground truth-automobile, Test result A-airplane
1604: Ground truth-cat, Test result A-bird
1611: Ground truth-bird, Test result A-deer
1614: Ground truth-ship, Test result A-truck
1619: Ground truth-horse, Test result A-cat
1629: Ground truth-deer, Test result A-horse
1642: Ground truth-frog, Test result A-deer
1684: Ground truth-ship, Test result A-airplane
1689: Ground truth-frog, Test result A-truck
1694: Ground truth-deer, Test result A-ship
1702: Ground truth-dog, Test result A-bird
1711: Ground truth-deer, Test result A-frog
1725: Ground truth-deer, Test result A-frog
1733: Ground truth-truck, Test result A-automobile
1756: Ground truth-horse, Test result A-dog
1788: Ground truth-cat, Test result A-dog
1792: Ground truth-deer, Test result A-frog
1808: Ground truth-dog, Test result A-deer
1814: Ground truth-cat, Test result A-airplane
1838: Ground truth-truck, Test result A-automobile
1839: Ground truth-frog, Test result A-ship
1891: Ground truth-frog, Test result A-deer
1905: Ground truth-automobile, Test result A-truck
1907: Ground truth-truck, Test result A-cat
1917: Ground truth-truck, Test result A-bird
1920: Ground truth-deer, Test result A-horse
1922: Ground truth-bird, Test result A-airplane
1928: Ground truth-truck, Test result A-automobile
1937: Ground truth-cat, Test result A-horse
1964: Ground truth-bird, Test result A-airplane
1973: Ground truth-frog, Test result A-bird
1987: Ground truth-deer, Test result A-bird
1990: Ground truth-frog, Test result A-deer
1994: Ground truth-cat, Test result A-bird
2004: Ground truth-dog, Test result A-cat
2017: Ground truth-frog, Test result A-deer
2020: Ground truth-truck, Test result A-frog
2054: Ground truth-frog, Test result A-bird
2081: Ground truth-automobile, Test result A-truck
2088: Ground truth-airplane, Test result A-deer
2099: Ground truth-airplane, Test result A-ship
2101: Ground truth-bird, Test result A-deer
2115: Ground truth-bird, Test result A-horse
2118: Ground truth-horse, Test result A-airplane
2131: Ground truth-airplane, Test result A-bird
2199: Ground truth-ship, Test result A-airplane
2217: Ground truth-bird, Test result A-dog
2235: Ground truth-horse, Test result A-deer
2237: Ground truth-dog, Test result A-bird
2243: Ground truth-bird, Test result A-cat
2248: Ground truth-dog, Test result A-bird
2278: Ground truth-dog, Test result A-cat
2287: Ground truth-cat, Test result A-horse
2317: Ground truth-dog, Test result A-bird
2324: Ground truth-ship, Test result A-automobile
2325: Ground truth-airplane, Test result A-bird
2351: Ground truth-cat, Test result A-dog
2360: Ground truth-bird, Test result A-horse
2367: Ground truth-truck, Test result A-ship
2385: Ground truth-dog, Test result A-horse
2386: Ground truth-deer, Test result A-horse
2397: Ground truth-automobile, Test result A-horse
2402: Ground truth-cat, Test result A-ship
2404: Ground truth-deer, Test result A-bird
2410: Ground truth-deer, Test result A-bird
2414: Ground truth-deer, Test result A-frog
2417: Ground truth-frog, Test result A-truck
2420: Ground truth-deer, Test result A-horse
2455: Ground truth-automobile, Test result A-ship
2467: Ground truth-bird, Test result A-airplane
2490: Ground truth-cat, Test result A-bird
2500: Ground truth-frog, Test result A-bird
2517: Ground truth-bird, Test result A-dog
2525: Ground truth-cat, Test result A-dog
2540: Ground truth-ship, Test result A-truck
2606: Ground truth-deer, Test result A-horse
2619: Ground truth-dog, Test result A-deer
2625: Ground truth-ship, Test result A-cat
2633: Ground truth-cat, Test result A-dog
2643: Ground truth-horse, Test result A-frog
2644: Ground truth-cat, Test result A-airplane
2661: Ground truth-cat, Test result A-dog
2662: Ground truth-cat, Test result A-dog
2669: Ground truth-airplane, Test result A-bird
2690: Ground truth-dog, Test result A-cat
2696: Ground truth-bird, Test result A-frog
2701: Ground truth-truck, Test result A-airplane
2703: Ground truth-frog, Test result A-deer
2710: Ground truth-frog, Test result A-dog
2715: Ground truth-truck, Test result A-airplane
2717: Ground truth-dog, Test result A-bird
2719: Ground truth-dog, Test result A-bird
2724: Ground truth-bird, Test result A-ship
2738: Ground truth-ship, Test result A-airplane
2748: Ground truth-cat, Test result A-ship
2775: Ground truth-bird, Test result A-dog
2783: Ground truth-airplane, Test result A-bird
2786: Ground truth-deer, Test result A-bird
2810: Ground truth-deer, Test result A-cat
2815: Ground truth-automobile, Test result A-truck
2824: Ground truth-cat, Test result A-deer
2829: Ground truth-bird, Test result A-deer
2841: Ground truth-cat, Test result A-bird
2854: Ground truth-truck, Test result A-automobile
2856: Ground truth-cat, Test result A-bird
2859: Ground truth-deer, Test result A-horse
2869: Ground truth-truck, Test result A-horse
2899: Ground truth-ship, Test result A-frog
2921: Ground truth-bird, Test result A-deer
2956: Ground truth-bird, Test result A-horse
2971: Ground truth-dog, Test result A-cat
3014: Ground truth-cat, Test result A-dog
3044: Ground truth-deer, Test result A-truck
3080: Ground truth-ship, Test result A-automobile
3086: Ground truth-bird, Test result A-automobile
3096: Ground truth-deer, Test result A-horse
3101: Ground truth-airplane, Test result A-bird
3111: Ground truth-horse, Test result A-dog
3130: Ground truth-cat, Test result A-dog
3149: Ground truth-airplane, Test result A-ship
3169: Ground truth-truck, Test result A-deer
3173: Ground truth-truck, Test result A-automobile
3186: Ground truth-bird, Test result A-frog
3189: Ground truth-deer, Test result A-cat
3209: Ground truth-truck, Test result A-ship
3215: Ground truth-frog, Test result A-cat
3217: Ground truth-deer, Test result A-cat
3220: Ground truth-airplane, Test result A-bird
3222: Ground truth-dog, Test result A-cat
3233: Ground truth-horse, Test result A-bird
3259: Ground truth-airplane, Test result A-deer
3263: Ground truth-bird, Test result A-cat
3313: Ground truth-truck, Test result A-dog
3319: Ground truth-ship, Test result A-truck
3326: Ground truth-frog, Test result A-dog
3339: Ground truth-airplane, Test result A-bird
3362: Ground truth-deer, Test result A-dog
3364: Ground truth-bird, Test result A-dog
3367: Ground truth-ship, Test result A-bird
3380: Ground truth-dog, Test result A-cat
3385: Ground truth-horse, Test result A-dog
3388: Ground truth-cat, Test result A-frog
3409: Ground truth-bird, Test result A-deer
3412: Ground truth-dog, Test result A-cat
3416: Ground truth-horse, Test result A-cat
3434: Ground truth-deer, Test result A-cat
3435: Ground truth-dog, Test result A-horse
3448: Ground truth-deer, Test result A-bird
3450: Ground truth-automobile, Test result A-truck
3458: Ground truth-deer, Test result A-horse
3475: Ground truth-bird, Test result A-automobile
3501: Ground truth-automobile, Test result A-truck
3510: Ground truth-cat, Test result A-bird
3538: Ground truth-ship, Test result A-airplane
3540: Ground truth-cat, Test result A-horse
3545: Ground truth-automobile, Test result A-truck
3581: Ground truth-deer, Test result A-bird
3603: Ground truth-cat, Test result A-deer
3630: Ground truth-automobile, Test result A-airplane
3677: Ground truth-truck, Test result A-automobile
3683: Ground truth-cat, Test result A-deer
3699: Ground truth-ship, Test result A-airplane
3715: Ground truth-cat, Test result A-dog
3716: Ground truth-automobile, Test result A-cat
3753: Ground truth-cat, Test result A-automobile
3758: Ground truth-deer, Test result A-airplane
3775: Ground truth-dog, Test result A-horse
3777: Ground truth-truck, Test result A-airplane
3788: Ground truth-cat, Test result A-frog
3792: Ground truth-bird, Test result A-dog
3794: Ground truth-frog, Test result A-cat
3805: Ground truth-dog, Test result A-bird
3813: Ground truth-truck, Test result A-automobile
3818: Ground truth-ship, Test result A-automobile
3820: Ground truth-cat, Test result A-dog
3830: Ground truth-ship, Test result A-airplane
3836: Ground truth-cat, Test result A-dog
3858: Ground truth-automobile, Test result A-ship
3926: Ground truth-automobile, Test result A-ship
3948: Ground truth-bird, Test result A-deer
3949: Ground truth-automobile, Test result A-truck
3954: Ground truth-horse, Test result A-bird
3955: Ground truth-dog, Test result A-horse
3957: Ground truth-cat, Test result A-deer
3960: Ground truth-dog, Test result A-cat
4005: Ground truth-airplane, Test result A-horse
4011: Ground truth-horse, Test result A-airplane
4059: Ground truth-horse, Test result A-cat
4067: Ground truth-frog, Test result A-bird
4083: Ground truth-frog, Test result A-cat
4119: Ground truth-airplane, Test result A-bird
4120: Ground truth-frog, Test result A-cat
4122: Ground truth-dog, Test result A-horse
4136: Ground truth-automobile, Test result A-bird
4167: Ground truth-automobile, Test result A-airplane
4177: Ground truth-cat, Test result A-dog
4186: Ground truth-horse, Test result A-deer
4205: Ground truth-bird, Test result A-deer
4209: Ground truth-bird, Test result A-horse
4210: Ground truth-deer, Test result A-horse
4225: Ground truth-dog, Test result A-deer
4239: Ground truth-dog, Test result A-bird
4268: Ground truth-horse, Test result A-deer
4269: Ground truth-deer, Test result A-dog
4274: Ground truth-dog, Test result A-cat
4283: Ground truth-cat, Test result A-dog
4288: Ground truth-airplane, Test result A-cat
4290: Ground truth-horse, Test result A-truck
4291: Ground truth-bird, Test result A-dog
4292: Ground truth-frog, Test result A-cat
4387: Ground truth-frog, Test result A-bird
4412: Ground truth-dog, Test result A-cat
4436: Ground truth-cat, Test result A-dog
4439: Ground truth-bird, Test result A-dog
4446: Ground truth-truck, Test result A-automobile
4473: Ground truth-deer, Test result A-frog
4476: Ground truth-automobile, Test result A-truck
4494: Ground truth-deer, Test result A-dog
4496: Ground truth-cat, Test result A-dog
4529: Ground truth-dog, Test result A-deer
4537: Ground truth-truck, Test result A-automobile
4549: Ground truth-airplane, Test result A-deer
4564: Ground truth-horse, Test result A-dog
4571: Ground truth-truck, Test result A-automobile
4586: Ground truth-ship, Test result A-airplane
4587: Ground truth-airplane, Test result A-bird
4590: Ground truth-cat, Test result A-deer
4596: Ground truth-truck, Test result A-automobile
4609: Ground truth-deer, Test result A-frog
4615: Ground truth-cat, Test result A-deer
4640: Ground truth-airplane, Test result A-truck
4670: Ground truth-frog, Test result A-bird
4694: Ground truth-deer, Test result A-dog
4708: Ground truth-horse, Test result A-truck
4713: Ground truth-deer, Test result A-cat
4717: Ground truth-truck, Test result A-horse
4723: Ground truth-frog, Test result A-cat
4746: Ground truth-horse, Test result A-airplane
4750: Ground truth-bird, Test result A-deer
4754: Ground truth-bird, Test result A-truck
4791: Ground truth-automobile, Test result A-truck
4827: Ground truth-cat, Test result A-frog
4845: Ground truth-dog, Test result A-cat
4868: Ground truth-truck, Test result A-automobile
4872: Ground truth-horse, Test result A-dog
4900: Ground truth-bird, Test result A-deer
4911: Ground truth-ship, Test result A-truck
4922: Ground truth-dog, Test result A-cat
4926: Ground truth-dog, Test result A-cat
4981: Ground truth-automobile, Test result A-truck
4984: Ground truth-frog, Test result A-bird
4994: Ground truth-horse, Test result A-truck
5030: Ground truth-cat, Test result A-frog
5038: Ground truth-airplane, Test result A-automobile
5053: Ground truth-frog, Test result A-deer
5061: Ground truth-frog, Test result A-bird
5062: Ground truth-automobile, Test result A-frog
5068: Ground truth-truck, Test result A-automobile
5071: Ground truth-horse, Test result A-cat
5121: Ground truth-truck, Test result A-airplane
5149: Ground truth-cat, Test result A-dog
5162: Ground truth-cat, Test result A-dog
5170: Ground truth-bird, Test result A-deer
5177: Ground truth-cat, Test result A-truck
5186: Ground truth-cat, Test result A-truck
5192: Ground truth-cat, Test result A-truck
5203: Ground truth-truck, Test result A-automobile
5216: Ground truth-bird, Test result A-automobile
5231: Ground truth-ship, Test result A-cat
5234: Ground truth-automobile, Test result A-truck
5235: Ground truth-horse, Test result A-dog
5281: Ground truth-airplane, Test result A-truck
5298: Ground truth-frog, Test result A-cat
5344: Ground truth-cat, Test result A-bird
5345: Ground truth-bird, Test result A-dog
5365: Ground truth-horse, Test result A-deer
5375: Ground truth-airplane, Test result A-ship
5379: Ground truth-automobile, Test result A-horse
5380: Ground truth-deer, Test result A-bird
5388: Ground truth-cat, Test result A-deer
5389: Ground truth-frog, Test result A-dog
5393: Ground truth-airplane, Test result A-automobile
5397: Ground truth-automobile, Test result A-truck
5402: Ground truth-bird, Test result A-airplane
5418: Ground truth-deer, Test result A-cat
5425: Ground truth-cat, Test result A-dog
5427: Ground truth-dog, Test result A-cat
5429: Ground truth-deer, Test result A-frog
5439: Ground truth-horse, Test result A-deer
5447: Ground truth-frog, Test result A-dog
5469: Ground truth-dog, Test result A-truck
5509: Ground truth-horse, Test result A-dog
5545: Ground truth-airplane, Test result A-cat
5548: Ground truth-bird, Test result A-deer
5555: Ground truth-truck, Test result A-ship
5559: Ground truth-horse, Test result A-bird
5587: Ground truth-ship, Test result A-airplane
5604: Ground truth-dog, Test result A-deer
5611: Ground truth-ship, Test result A-bird
5630: Ground truth-frog, Test result A-cat
5633: Ground truth-cat, Test result A-truck
5648: Ground truth-dog, Test result A-cat
5660: Ground truth-bird, Test result A-dog
5662: Ground truth-deer, Test result A-horse
5663: Ground truth-ship, Test result A-automobile
5674: Ground truth-dog, Test result A-horse
5675: Ground truth-truck, Test result A-ship
5710: Ground truth-bird, Test result A-cat
5715: Ground truth-bird, Test result A-deer
5737: Ground truth-truck, Test result A-automobile
5742: Ground truth-automobile, Test result A-ship
5750: Ground truth-dog, Test result A-cat
5775: Ground truth-dog, Test result A-cat
5787: Ground truth-deer, Test result A-horse
5806: Ground truth-automobile, Test result A-truck
5810: Ground truth-airplane, Test result A-cat
5826: Ground truth-cat, Test result A-frog
5827: Ground truth-horse, Test result A-bird
5832: Ground truth-frog, Test result A-horse
5833: Ground truth-truck, Test result A-ship
5836: Ground truth-cat, Test result A-bird
5841: Ground truth-bird, Test result A-automobile
5855: Ground truth-deer, Test result A-truck
5879: Ground truth-deer, Test result A-bird
5906: Ground truth-automobile, Test result A-truck
5923: Ground truth-horse, Test result A-deer
5928: Ground truth-frog, Test result A-bird
5946: Ground truth-truck, Test result A-airplane
5957: Ground truth-deer, Test result A-horse
5980: Ground truth-dog, Test result A-cat
5982: Ground truth-horse, Test result A-bird
5992: Ground truth-cat, Test result A-horse
6006: Ground truth-deer, Test result A-bird
6016: Ground truth-airplane, Test result A-ship
6017: Ground truth-deer, Test result A-frog
6022: Ground truth-cat, Test result A-dog
6025: Ground truth-bird, Test result A-cat
6029: Ground truth-ship, Test result A-airplane
6055: Ground truth-cat, Test result A-dog
6061: Ground truth-cat, Test result A-airplane
6067: Ground truth-bird, Test result A-frog
6074: Ground truth-bird, Test result A-horse
6114: Ground truth-bird, Test result A-horse
6128: Ground truth-dog, Test result A-bird
6136: Ground truth-cat, Test result A-bird
6145: Ground truth-horse, Test result A-dog
6163: Ground truth-airplane, Test result A-horse
6165: Ground truth-horse, Test result A-cat
6167: Ground truth-automobile, Test result A-ship
6169: Ground truth-cat, Test result A-dog
6186: Ground truth-dog, Test result A-cat
6203: Ground truth-cat, Test result A-bird
6211: Ground truth-deer, Test result A-cat
6261: Ground truth-bird, Test result A-automobile
6286: Ground truth-ship, Test result A-airplane
6294: Ground truth-cat, Test result A-horse
6312: Ground truth-cat, Test result A-ship
6316: Ground truth-frog, Test result A-dog
6321: Ground truth-airplane, Test result A-deer
6335: Ground truth-airplane, Test result A-bird
6339: Ground truth-horse, Test result A-deer
6348: Ground truth-airplane, Test result A-ship
6368: Ground truth-deer, Test result A-cat
6387: Ground truth-dog, Test result A-ship
6395: Ground truth-airplane, Test result A-truck
6407: Ground truth-cat, Test result A-horse
6435: Ground truth-airplane, Test result A-ship
6445: Ground truth-cat, Test result A-dog
6448: Ground truth-deer, Test result A-horse
6449: Ground truth-horse, Test result A-dog
6462: Ground truth-deer, Test result A-cat
6478: Ground truth-deer, Test result A-horse
6487: Ground truth-ship, Test result A-airplane
6491: Ground truth-ship, Test result A-airplane
6515: Ground truth-cat, Test result A-bird
6517: Ground truth-bird, Test result A-cat
6524: Ground truth-frog, Test result A-deer
6529: Ground truth-dog, Test result A-horse
6538: Ground truth-dog, Test result A-cat
6559: Ground truth-frog, Test result A-cat
6570: Ground truth-ship, Test result A-truck
6613: Ground truth-horse, Test result A-dog
6626: Ground truth-deer, Test result A-bird
6628: Ground truth-dog, Test result A-frog
6633: Ground truth-horse, Test result A-dog
6647: Ground truth-dog, Test result A-deer
6671: Ground truth-cat, Test result A-automobile
6688: Ground truth-cat, Test result A-deer
6691: Ground truth-dog, Test result A-bird
6716: Ground truth-bird, Test result A-frog
6723: Ground truth-cat, Test result A-bird
6772: Ground truth-dog, Test result A-cat
6780: Ground truth-ship, Test result A-automobile
6787: Ground truth-cat, Test result A-dog
6803: Ground truth-deer, Test result A-horse
6805: Ground truth-truck, Test result A-deer
6809: Ground truth-airplane, Test result A-ship
6818: Ground truth-automobile, Test result A-ship
6822: Ground truth-airplane, Test result A-cat
6829: Ground truth-cat, Test result A-frog
6837: Ground truth-deer, Test result A-horse
6842: Ground truth-automobile, Test result A-truck
6850: Ground truth-deer, Test result A-bird
6857: Ground truth-frog, Test result A-cat
6862: Ground truth-ship, Test result A-airplane
6872: Ground truth-truck, Test result A-dog
6906: Ground truth-bird, Test result A-deer
6914: Ground truth-cat, Test result A-frog
6915: Ground truth-ship, Test result A-bird
6984: Ground truth-truck, Test result A-automobile
7016: Ground truth-cat, Test result A-airplane
7045: Ground truth-deer, Test result A-bird
7056: Ground truth-ship, Test result A-airplane
7064: Ground truth-automobile, Test result A-frog
7075: Ground truth-cat, Test result A-dog
7085: Ground truth-deer, Test result A-cat
7088: Ground truth-horse, Test result A-dog
7127: Ground truth-airplane, Test result A-ship
7140: Ground truth-airplane, Test result A-ship
7146: Ground truth-cat, Test result A-dog
7154: Ground truth-horse, Test result A-deer
7198: Ground truth-deer, Test result A-cat
7221: Ground truth-truck, Test result A-deer
7230: Ground truth-bird, Test result A-dog
7239: Ground truth-deer, Test result A-horse
7242: Ground truth-dog, Test result A-deer
7256: Ground truth-cat, Test result A-frog
7272: Ground truth-horse, Test result A-deer
7276: Ground truth-cat, Test result A-automobile
7278: Ground truth-deer, Test result A-frog
7288: Ground truth-dog, Test result A-cat
7295: Ground truth-dog, Test result A-horse
7350: Ground truth-cat, Test result A-frog
7363: Ground truth-truck, Test result A-automobile
7378: Ground truth-cat, Test result A-dog
7383: Ground truth-truck, Test result A-airplane
7396: Ground truth-bird, Test result A-dog
7430: Ground truth-dog, Test result A-cat
7432: Ground truth-truck, Test result A-ship
7492: Ground truth-truck, Test result A-horse
7518: Ground truth-bird, Test result A-dog
7559: Ground truth-bird, Test result A-airplane
7570: Ground truth-cat, Test result A-frog
7609: Ground truth-dog, Test result A-horse
7655: Ground truth-deer, Test result A-horse
7687: Ground truth-truck, Test result A-airplane
7688: Ground truth-frog, Test result A-dog
7718: Ground truth-cat, Test result A-deer
7735: Ground truth-automobile, Test result A-truck
7738: Ground truth-airplane, Test result A-ship
7748: Ground truth-cat, Test result A-frog
7793: Ground truth-truck, Test result A-automobile
7803: Ground truth-bird, Test result A-airplane
7804: Ground truth-airplane, Test result A-ship
7821: Ground truth-dog, Test result A-cat
7827: Ground truth-truck, Test result A-automobile
7832: Ground truth-bird, Test result A-deer
7835: Ground truth-dog, Test result A-deer
7843: Ground truth-dog, Test result A-deer
7844: Ground truth-airplane, Test result A-bird
7847: Ground truth-frog, Test result A-cat
7863: Ground truth-automobile, Test result A-horse
7868: Ground truth-deer, Test result A-airplane
7916: Ground truth-cat, Test result A-dog
7918: Ground truth-frog, Test result A-cat
7925: Ground truth-cat, Test result A-dog
7936: Ground truth-horse, Test result A-bird
7955: Ground truth-truck, Test result A-automobile
7985: Ground truth-ship, Test result A-airplane
7986: Ground truth-dog, Test result A-cat
8008: Ground truth-airplane, Test result A-bird
8011: Ground truth-bird, Test result A-dog
8013: Ground truth-cat, Test result A-frog
8026: Ground truth-dog, Test result A-frog
8034: Ground truth-cat, Test result A-dog
8052: Ground truth-truck, Test result A-automobile
8080: Ground truth-dog, Test result A-cat
8083: Ground truth-dog, Test result A-cat
8094: Ground truth-horse, Test result A-deer
8096: Ground truth-bird, Test result A-airplane
8113: Ground truth-cat, Test result A-frog
8121: Ground truth-ship, Test result A-truck
8124: Ground truth-automobile, Test result A-truck
8127: Ground truth-deer, Test result A-bird
8132: Ground truth-cat, Test result A-dog
8136: Ground truth-horse, Test result A-cat
8140: Ground truth-automobile, Test result A-truck
8154: Ground truth-deer, Test result A-cat
8162: Ground truth-dog, Test result A-horse
8170: Ground truth-cat, Test result A-frog
8172: Ground truth-frog, Test result A-deer
8191: Ground truth-deer, Test result A-dog
8194: Ground truth-cat, Test result A-dog
8198: Ground truth-airplane, Test result A-ship
8199: Ground truth-deer, Test result A-bird
8221: Ground truth-frog, Test result A-truck
8227: Ground truth-ship, Test result A-airplane
8262: Ground truth-automobile, Test result A-airplane
8266: Ground truth-airplane, Test result A-ship
8270: Ground truth-ship, Test result A-airplane
8273: Ground truth-truck, Test result A-automobile
8304: Ground truth-ship, Test result A-airplane
8323: Ground truth-deer, Test result A-frog
8326: Ground truth-ship, Test result A-deer
8336: Ground truth-horse, Test result A-cat
8342: Ground truth-frog, Test result A-bird
8346: Ground truth-truck, Test result A-horse
8355: Ground truth-deer, Test result A-horse
8388: Ground truth-airplane, Test result A-ship
8395: Ground truth-horse, Test result A-truck
8409: Ground truth-frog, Test result A-bird
8411: Ground truth-dog, Test result A-cat
8417: Ground truth-frog, Test result A-bird
8429: Ground truth-dog, Test result A-bird
8438: Ground truth-horse, Test result A-deer
8441: Ground truth-dog, Test result A-cat
8485: Ground truth-cat, Test result A-bird
8509: Ground truth-automobile, Test result A-truck
8517: Ground truth-ship, Test result A-truck
8521: Ground truth-ship, Test result A-automobile
8526: Ground truth-cat, Test result A-dog
8530: Ground truth-airplane, Test result A-automobile
8543: Ground truth-bird, Test result A-frog
8557: Ground truth-deer, Test result A-horse
8563: Ground truth-bird, Test result A-deer
8577: Ground truth-bird, Test result A-cat
8596: Ground truth-automobile, Test result A-truck
8603: Ground truth-ship, Test result A-airplane
8632: Ground truth-bird, Test result A-deer
8635: Ground truth-frog, Test result A-dog
8637: Ground truth-frog, Test result A-deer
8638: Ground truth-deer, Test result A-ship
8661: Ground truth-horse, Test result A-dog
8662: Ground truth-bird, Test result A-airplane
8678: Ground truth-cat, Test result A-bird
8685: Ground truth-bird, Test result A-cat
8697: Ground truth-ship, Test result A-truck
8699: Ground truth-frog, Test result A-deer
8701: Ground truth-cat, Test result A-dog
8703: Ground truth-airplane, Test result A-ship
8704: Ground truth-deer, Test result A-frog
8711: Ground truth-horse, Test result A-deer
8714: Ground truth-bird, Test result A-cat
8722: Ground truth-frog, Test result A-dog
8743: Ground truth-truck, Test result A-horse
8755: Ground truth-cat, Test result A-frog
8771: Ground truth-frog, Test result A-cat
8781: Ground truth-deer, Test result A-horse
8789: Ground truth-dog, Test result A-cat
8792: Ground truth-frog, Test result A-deer
8811: Ground truth-bird, Test result A-dog
8814: Ground truth-automobile, Test result A-truck
8837: Ground truth-deer, Test result A-bird
8855: Ground truth-deer, Test result A-ship
8869: Ground truth-deer, Test result A-horse
8899: Ground truth-horse, Test result A-bird
8907: Ground truth-deer, Test result A-horse
8929: Ground truth-deer, Test result A-bird
8941: Ground truth-frog, Test result A-cat
8956: Ground truth-automobile, Test result A-ship
8958: Ground truth-horse, Test result A-dog
8963: Ground truth-dog, Test result A-cat
8969: Ground truth-ship, Test result A-frog
8974: Ground truth-dog, Test result A-cat
9003: Ground truth-frog, Test result A-bird
9012: Ground truth-bird, Test result A-frog
9027: Ground truth-truck, Test result A-airplane
9032: Ground truth-airplane, Test result A-ship
9039: Ground truth-bird, Test result A-frog
9051: Ground truth-dog, Test result A-cat
9072: Ground truth-horse, Test result A-bird
9079: Ground truth-deer, Test result A-horse
9088: Ground truth-cat, Test result A-dog
9094: Ground truth-cat, Test result A-deer
9114: Ground truth-automobile, Test result A-airplane
9192: Ground truth-cat, Test result A-deer
9218: Ground truth-truck, Test result A-airplane
9253: Ground truth-horse, Test result A-deer
9263: Ground truth-airplane, Test result A-cat
9289: Ground truth-ship, Test result A-truck
9301: Ground truth-dog, Test result A-cat
9303: Ground truth-cat, Test result A-deer
9304: Ground truth-truck, Test result A-automobile
